name,email,website
FIRA CONGRESS,reservas@firacongress.com,www.firacongress.com
GRAN DERBY SUITE,granderby@derbyhotels.com,www.hotelgranderby.com
GRAN HOTEL BARCINO,reserve@gargallohotels.es,www.gargallohotels.es
GRAN HOTEL REY DON JAIME,donjaime@grup-soteras.com,www.grup-soteras.com
GRUMS BARCELONA,info@hotelgrumsbarcelona.com,www.hotelgrumsbarcelona.com
GRUPOTEL GRAN VÍA 678,granvia678@grupotel.com,www.grupotel.com
GÓTICO,reserve@gargallohotels.es,www.gargallohotels.es
H10 CASANOVA,h10.casanova@h10hotels.com,www.hotelh10casanova.com
H10 ITACA,h10.itaca@h10hotels.com,www.hotelh10itaca.com
H10 MARINA BARCELONA,h10.marina.barcelona@h10hotels.com,www.hotelh10marinabarcelona.com
H10 UNIVERSITAT,h10.universitat@h10hotels.com,www.hotelh10universitat.com
H10 URQUINAONA PLAZA,reservas.hup@h10hotels.com,www.hotelh10urquinaonaplaza.com
HCC REGENTE,regente@hcchotels.es,www.hcchotels.com
HCC ST. MORITZ,stmoritz@hcchotels.es,www.hcchotels.com
HESPERIA BARCELONA SANT JUST,hhsantjust@hesperia.com,www.hesperia.com/hotel/barcelona/
HESPERIA DEL MAR,hhdelmar@hesperia.com,www.hesperia.com/hotel/barcelona/
HESPERIA PRESIDENTE,hhpresidente@hesperia.com,www.hesperia.com/hotel/barcelona/
HILTON DIAGONAL MAR BARCELONA,bcndm.barcelona@hilton.com,www.hiltondiagonalmarbarcelonahotel.es
HOTEL ARREY ALELLA,recepcion@cmcarreyalella.com,www.hotelarreyalella.com
HOTEL BADALONA TOWER,badalona@rafaelhoteles.com,www.hotelbadalonatower.com
HOTEL BARCELONA CONDAL MAR AFFILIATED BY MELIÁ,Hotel.barcelona.condal.mar@melia.com,www.melia.com/en/hotels/spain/barcelona/hotel-barcelona-condal-mar/index.htm
HOTEL BARCELÓ SANTS,sants@barcelo.com,www.barcelo.com
HOTEL CALIPOLIS,info@hotelcalipolis.com,www.hotelcalipolis.com
HOTEL CASA ELLIOT,hotelcasaelliot@bondiahotels.com,www.bondiahotels.com
HOTEL CONCORDIA BARCELONA,info@hotelconcordiabarcelona.com,www.hotelconcordiabarcelona.com
HOTEL ESPAÑA RAMBLAS,hotelespanya@hotelespanya.com,www.hotelespanya.com
HOTEL EXE CAMPUS,reservas@hotelexecampus.com,www.hotelcampusuab.com
HOTEL GARBI MIL·LENNI,hotelgarbimillenni@hotelesgarbi.com,www.hotel-millenni.com
HOTEL INNSiDE by Meliá Barcelona Apolo,hotel.barcelona.apolo@melia.com,www.melia.com/es/hoteles/espana/barcelona/hotel-barcelona-apolo-by-melia/index.htm
HOTEL MIDMOST,info@hotelmidmost.com,www.hotelmidmost.com/es
HOTEL MÓN SANT BENET,info@monsantbenet.com,monsantbenet.com/ca/
HOTEL PESTANA ARENA BARCELONA,arena.barcelona@pestana.com,www.pestana.com
HOTEL ROGER DE LLÚRIA,hotel@rogerdelluria.com,www.rogerdelluria.com
HOTEL SB ICARIA BARCELONA,reservasicaria@sbhotels.es,www.hotelicariabarcelona.com
HOTEL SB PLAZA EUROPA,reservasplazaeuropa@sbhotels.es,www.hotelsbplazaeuropa.com
HOTEL SIXTYTWO BARCELONA,hotel@sixtytwohotel.com,www.sixtytwohotel.com
HOTEL SORLI EMOCIONS,info@hotelsorliemocions.cat,www.hotelsorliemocions.com
HOTEL VILLA EMILIA BY KATJA & ANTOINE,info@hotelvillaemilia.com,www.hotelvillaemilia.com
IKONIK ANGLÍ,reservas@eurostarsangli.com,www.eurostarshotels.com
IKONIK RAMBLAS,reservas@ikonikramblas.com,www.eurostarshotels.com
ILUNION ALMIRANTE,infoalmirante@ilunionhotels.com,www.ilunionhotels.com
ILUNION BARCELONA,recepcionbarcelona@ilunionhotels.com,www.ilunionhotels.com
ILUNION BEL ART,reservasbelart@ilunionhotels.com,www.ilunionhotels.com
ILUNION LES CORTS SPA,reservaslescorts@ilunionhotels.com,www.ilunionhotels.com
MADANIS,reservas@hotelmadanis.com,www.hotelmadanis.com
MEDINACELI,medinaceli@gargallohotels.es,www.gargallohotels.es
MERCURE BARCELONA CÓNDOR,h9267@accor.com,www.accorhotels.com
NH BARCELONA STADIUM,nhbarcelonastadium@nh-hotels.com,www.nh-hotels.com
NH COLLECTION BARCELONA CONSTANZA,nhcollectionconstanza@nh-hotels.com,www.nh-hoteles.es/hotel/nh-collection-barcelona-constanza
NH COLLECTION BARCELONA PÓDIUM,nhpodium@nh-hotels.com,www.nh-hotels.com
NH SANTS BARCELONA,nhsantsbarcelona@nh-hotels.com,www.nh-hotels.com
NOVOTEL BARCELONA CITY,H5560@accor.com,www.novotel.com
NOVOTEL BARCELONA CORNELLA,H3667@accor.com,www.novotel.com
NOVOTEL BARCELONA SANT JOAN DESPÍ,H3289@accor.com,www.novotel.com
OLIVIA PLAZA HOTEL,recepcion.plaza@oliviahotels.es,www.oliviaplazahotel.es
PETIT PALACE BOQUERÍA GARDEN,boqueriagarden@petitpalace.com,www.petitpalace.com
POL & GRACE HOTEL,friends@polgracehotel.es,www.polgracehotel.es
"RADISSON BLU 1882 HOTEL, BARCELONA SAGRADA FAMILIA",info.barcelona@radissonblu.com,radissonhotels.com/blu
REGINA,bookings@reginahotel.com,www.reginahotel.com
RONDA LESSEPS,lesseps@rondas.com,www.lesseps.rondas.com
ROOM MATE ANNA,,
ROOM MATE CARLA,,
ROOM MATE GERARD,,
ROYAL PASSEIG DE GRÀCIA,info.pg84@royalhotels.es,www.royalpasseigdegraciahotel.com
ROYAL RAMBLAS,info@royalramblashotel.com,www.royalramblashotel.com
SALLES HOTEL MARINA BADALONA,hotelmb@salleshotels.com,www.hotelmarinabadalona.com
SALLES HOTEL PERE IV,hotelpiv@salleshotels.com,www.salleshotels.com
SERCOTEL CASPE,,
SERCOTEL ROSELLÓN,recepcion@sercotelrosellon.com,www.sercotelrosellon.com
SERCOTEL ÁMISTER ART HOTEL,info@hotelamister.com,www.sercotelhoteles.com/hotel-amister-en-barcelona.htm
SERHS RIVOLI RAMBLA,director.rivolirambla@grupserhs.com,www.hotelserhsrivolirambla.com
SILKEN RAMBLAS BARCELONA,silken.ramblas@hoteles-silken.com,www.silkenramblas.com
THE CORNER HOTEL,thecornerhotel@nnhotels.com,www.thecornerhotel-barcelona.com
"THE HOXTON, POBLENOU",hello.poblenou@thehox.com,thehoxton.com/poblenou
U232 HOTEL,u232hotel@nnhotels.com,www.u232hotel.com
"VIA SANTS BARCELONA, TAPESTRY COLLECTION BY HILTON",bcnsa.tapestry@hilton.com,www.hilton.com
VINCCI GALA,gala@vinccihoteles.com,www.vinccihoteles.com
VINCCI MAE,mae@vinccihoteles.com,www.vinccihoteles.com/
VINCCI MARÍTIMO,maritimo@vinccihoteles.com,www.vinccihoteles.com
WILSON BOUTIQUE HOTEL,info@wilsonbcn.com,www.wilsonbcn.com
ZENIT BARCELONA,barcelona@zenithoteles.com,www.zenithoteles.com
ZENIT BORRELL,borrell@zenithoteles.com,www.zenithoteles.com
ZT THE GOLDEN HOTEL BARCELONA,thegoldenhotelbarcelona@zthotels.com,goldenbarcelona.zthotels.com/
ABAT CISNEROS,reserves@larsa-montserrat.com,www.montserratvisita
ABBA RAMBLA,rambla@abbahoteles.com,wwww.abbaramblahotel.com
AC HOTEL IRLA,,
ACTA SPLENDID,recepcion.splendid@actahotels.com,www.hotel-splendid.com
ACTUAL,info@hotelactual.com,www.hotelactual.com
ANDANTE HOTEL,info@andantehotel.com,www.andantehotel.com
ARC LA RAMBLA,info@hotelarclarambla.com,www.hotelarclarambla.com
ARYA STADIUM by Madanis,,
ASTORIA,astoria@derbyhotels.com,www.hotelastoria-barcelona.com
B HOTEL,b-hotel@nnhotels.es,www.b-hotel.com
BARCELONA HOUSE,info@hotel-barcelonahouse.com,www.hotel-barcelonahouse.com
BEST ARANEA,aranea@besthotels.es,www.hotelaranea.com
CALIFORNIA,info@hotelcaliforniabcn.com,www.hotelcaliforniabcn.com
CATALONIA ALBÉNIZ,albeniz@cataloniahotels.com,www.cataloniahotels.com/ca
CATALONIA AVINYÓ,mikado@cataloniahotels.com,www.cataloniahotels.com/es
CATALONIA CASTELLNOU,castellnou@cataloniahotels.com,www.cataloniahotels.com/es
CATALONIA MIKADO,mikado@cataloniahotels.com,www.cataloniahotels.com/es
CATALONIA PARK GÜELL,putxet@cataloniahotels.com,www.cataloniahotels.com/es
CATALONIA PORTAL DE L'ÀNGEL,portaldelangel@hoteles-catalonia.es,wwww.hoteles-catalonia.com
CATALONIA ROMA,roma@cataloniahotels.com,www.cataloniahotels.com/es
CATALONIA SAGRADA FAMILIA,sagradafamilia.reservas@hoteles-catalonia.es,www.hoteles-catalonia.com
CHIC & BASIC BORN,born@chicandbasic.com,www.chicandbasic.com/hotel-barcelona-born/ca/
CIUDAD DE CASTELLDEFELS,cdc-hotel@grup-soteras.com,www.grup-soteras.com
CIUTAT DE BARCELONA,princesa@ciutathotels.com,www.ciutathotels.com
CIUTAT VELLA,info@hotelciutatvella.com,www.ciutathotels.com
CONDADO,hotel@condadohotel.com,www.condadohotel.com
CONDAL,reservas@hotelcondal.es,www.hotelcondal.es
CONTINENTAL BARCELONA,barcelona@hotelcontinental.com,www.hotelcontinental.com
CONTINENTAL PALACETE,palacete@hotelcontinental.com,www.hotelcontinental.com
EUROPARK,heuropark@nnhotels.com,www.hoteleuropark.com
EVENIA ROCAFORT,hba.res@eveniahotels.com,es.eveniahotels.com/ciudad/barcelona/evenia-rocafort
EXE MITRE,reservas@exemitre.com,www.eurostars.com
EXE RAMBLAS BOQUERÍA,info@eurostarsramblasboqueria.com,www.eurostarshotels.com
FOUR POINTS BY SHERATON BARCELONA DIAGONAL,reception@fourpointsbarcelona.com,www.fourpointsbarcelonadiagonal.com
GAUDI,gaudi@hotelgaudibarcelona.com,www.hotelgaudi.es
GRANVÍA,hgranvia@nnhotels.es,www.hotelgranvia.com
GRUPOTEL GRAVINA,gravina@grupotel.com,www.grupotel.com
H10 CATALUNYA PLAZA BOUTIQUE HOTEL,h10.catalunya.plaza@h10hotels.com,www.hotelh10catalunyaplaza.com
H10 MONTCADA BOUTIQUE HOTEL,reservas.hm@h10hotels.com,www.hotelh10montcada.com
H10 RACÓ DEL PI,h10.raco.delpi@h10hotels.com,www.hotelh10racodelpi.com
HCC MONTBLANC,montblanc@hcchotels.es,www.hcchotels.com
HCC TABER,taber@hcchotels.es,www.hcchotels.com
HESPERIA BARRI GÒTIC,hhbarrigotic@hesperia.com,www.hesperia.com/hotel/barcelona/
HOTEL 54 BARCELONETA,recepcion@hotel54barceloneta.es,www.hotel54barceloneta.es/
HOTEL ATLANTIS BY ATBCN,inf@hotelatlantis-atbcn.com,www.hotelatlantis-atbcn.com
HOTEL BEST AUTO HOGAR,autohogar@besthotels.es,www.hotelautohogarbarcelona.com
HOTEL CAMPANILE BARCELONA NORD-BARBERÀ DEL VALLÈS,barcelona.barbera@campanile.com,www.campanile.com
HOTEL CAMPANILE BARCELONA-SUD CORNELLA,barcelona.cornella@campanile.com,www.campanile.com
HOTEL DEL MAR,reserve@gargallohotels.es,www.gargallohotels.es
HOTEL DENIT,info@denit.com,www.denit.com
HOTEL GLÒRIES,info@hotelglories.com,www.hotelglories.com
HOTEL ONIX FIRA,fira@onixhotels.com,www.onixhotels.com
HOTEL ONIX LICEO,liceo@onixhotels.com,www.onixhotels.com
HOTEL RADHA,hotelradhareservas@gmail.com,radhahotelbcn.com/
HOTEL RAMBLAS,info@ramblashoteles.com,www.ramblashoteles.com/barcelona/index.es.html
HOTEL REC,hotelrec@nnhotels.com,www.hotelrecbarcelona.com/
HOTEL SAGRADA FAMILIA,info@hotelsagradafamilia.com,www.hotelsagradafamilia.com
HOTEL SOHO BARCELONA,soho@nnhotels.com,www.hotelsohobarcelona.com
HOTEL VILADOMAT,recepcion.viladomat@aa-hoteles.com,www.aa-hoteles.com
ILUNION AUDITORI,reservasauditori@ilunionhotels.com,www.ilunionhotels.com
JAZZ,jazz@nnhotels.com,www.hoteljazz.com
LEONARDO BOUTIQUE HOTEL BARCELONA SAGRADA FAMILIA,info.sagradafam@leonardo-hotels.com,www.leonardo-hotels.es
LLEÓ,info@hotel-lleo.com,www.hotel-lleo.com
MARGOT HOUSE,hello@margothouse.es,margothouse.es/
NH BARCELONA DIAGONAL CENTER,nhdiagonalcenter@nh-hotels.com,www.nh-hotels.com
NH BARCELONA EIXAMPLE,nheixample@nh-hotels.com,www.nh-hotels.com
NH BARCELONA ENTENZA,nhentenza@nh-hotels.com,www.nh-hotels.com
NH BARCELONA LES CORTS,nhlescorts@nh-hotels.com,www.nh-hotels.es
NOUVEL,info@hotelnouvel.com,www.hotelnouvel.com
ONIX RAMBLA,rambla@onixhotels.com,www.onixramblahotel.com/
ORIENTE ATIRAM HOTELS,hoteloriente@atiramhotels.com,www.orienteatiramhotels.com
PARK HOTEL BARCELONA,info@parkhotelbarcelona.com,www.parkhotelbarcelona.com
RAMBLAS HOTEL Powered by Vincci,ramblashotel@vinccihoteles.com,www.ramblashotelbyvincci.com
RAVAL HOUSE,info@hotel-ravalhouse.com,www.hotel-ravalhouse.com
REDING CROMA,reservas@hotelreding.com,www.hotelreding.com
RIALTO,reserve@gargallohotels.es,www.gargallohotels.es
RONDA HOUSE,info@hotel-rondahouse.com,www.hotelrondahouse.com/
ROOM MATE PAU,,
SANT AGUSTÍ,hotelsa@hotelsa.com,www.hotelsa.com
SERHS CARLIT,info.carlit@grupserhs.com,www.hotelserhscarlit.com
SERHS DEL PORT,info.delport@serhs.com,www.hotelserhsdelport.com
SILKEN ST. GERVASI,stgervasi.booking@hoteles-silken.com,www.hotelstgervasi.com
SM HOTEL SANT ANTONI,santantoni@smhoteles.com,www.hotelbcnsantantoni.com/
SM HOTEL TEATRE AUDITORI,teatreauditori@smhoteles.com,www.hotelteatre-barcelona.com
SONDER LA CASA DEL SOL,barcelona@sonder.com,www.sonder.com
SONDER LE PALACETE BARCELONA,barcelona@sonder.com,www.sonder.com
SUIZO,reserve@gargallohotels.es,www.gargallohotels.es
TRAVELODGE BARCELONA FIRA,barcelona.hospitalet@travelodge.co.uk,www.travelodge.es
TRES TORRES ATIRAM HOTELS,hoteltrestorres@atiramhotels.com,trestorresatiramhotels.com/
TURÍN,reservas@hotelturin.com,www.hotelturin.com
YURBBAN TRAFALGAR HOTEL,trafalgar@yurbban.com,www.yurbban.com
ADAGIO GASTRONÒMIC,info@adagiohotel.com,www.adagiohotel.com
AMREY SANT PAU,hotelsantpau@grupoamrey.com,www.hotelsantpau.com
ANTIBES,info@hotelantibes.net,www.hotelantibes.net
BCN URBANESS HOTELS DEL COMTE,reservas@bcnurbanhotelsdelcomte.es,www.bcnurbanhotelsdelcomte.com
CASA LIT BY ONA HOTELS,recepcion.casalit@onahotels.com,onahotels.com
CASUAL COLOURS BARCELONA,colours@casualhoteles.com,www.casualhoteles.com
CATALUNYA,hcatalunya@hotelcatalunya.net,hcatalunya.com
CONSTANZA,info@hotelconstanza.com,www.hotelconstanza.com
CUATRO NACIONES,h4n@h4n.com,www.h4n.com
HOTEL ACTA VORAPORT,recepcion.voraport@actahotels.com,www.hotelvoraport.com/
HOTEL BCN 40,recepcion.bcn40@actahotels.com,www.hotel-bcn40barcelona.com
IBIS BARCELONA AEROPUERTO VILADECANS,h5006@accor.com,www.ibis.accorhotels.com
IBIS BARCELONA FIRA DE CORNELLA,H3132@accor.com,www.ibishotel.com
IBIS BARCELONA MERIDIANA,h3310-gm@accor.com,www.ibishotel.com
IBIS BARCELONA MOLINS DE REI,h3758@accor.com,www.ibis.com
IBIS BARCELONA MOLLET,H3309@accor.com,www.ibis.com
IBIS BARCELONA MONTMELO GRANOLLERS,H5258@accor.com,www.ibishotel.com
IBIS BARCELONA PL. GLORIES 22@,H5944@accor.com,www.ibishotel.com
IBIS BARCELONA RIPOLLET,h3677@accor.com,www.ibishotel.com
IBIS BARCELONA SANTA COLOMA,h6410@accor.com,www.ibishotel.com
IBIS BUDGET BARCELONA SANT ANDREU DE LA BARCA,H3445@accor.com,www.ibis.com
IBIS STYLES BARCELONA CITY BOGATELL,H9663@ACCOR.COM,www.ibis.com
MESON CASTILLA ATIRAM HOTELS,recepcionmesoncastilla@atiramhotels.com,www.atiramhotels.com/
OASIS,hotel@hoteloasis.es,www.hoteloasis.es
PARAL·LEL,hparalel@nnhotels.com,www.nnhotels.com
PRAKTIK ÈSSENS,reservas@hotelpraktikessens.com,www.hotelpraktikessens.com/
SANTA MARTA,reserve@gargallohotels.es,www.gargallohotels.es
SONDER CASA LUZ,barcelona@sonder.com,www.sonder.com
VIA AUGUSTA,reservas@hotelviaaugusta.com,www.hotelviaaugusta.com
ANETO,aneto@hotelaneto.com,www.hotelaneto.com
BARCELONA CITY HOTEL (HOTEL UNIVERSAL),info@barcelonacityhotel.com,www.barcelonacityhotel.com
CALL,reservas@hotelcall.net,www.hotelcall.net
CASA GRÀCIA,administration@casagraciabcn.com,www.casagraciabcn.com
